City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,16.22,77,100,3.24,ZA,1704606190
1,adamstown,-25.066,-130.1015,22.48,76,100,7.1,PN,1704606190
2,iskateley,67.6803,53.1512,-16.1,95,16,3.13,RU,1704605616
3,east london,-33.0153,27.9116,20.52,83,0,5.14,ZA,1704606190
4,tiksi,71.6872,128.8694,-34.15,98,42,3.08,RU,1704606191
5,campos belos,-13.0367,-46.7717,21.06,96,99,0.7,BR,1704606191
6,port elizabeth,-33.918,25.5701,21.29,78,0,3.6,ZA,1704605606
7,jamestown,42.097,-79.2353,-1.66,100,100,0.0,US,1704606050
8,blackmans bay,-43.0167,147.3167,24.07,91,100,1.97,AU,1704606191
9,morondava,-20.2833,44.2833,29.11,70,81,1.2,MG,1704606192
10,thompson,55.7435,-97.8558,-20.91,77,100,2.57,CA,1704606192
11,gisborne,-38.6533,178.0042,17.3,59,0,3.1,NZ,1704605906
12,grytviken,-54.2811,-36.5092,3.39,89,27,5.33,GS,1704606192
13,summerside,46.3959,-63.7876,-8.81,85,77,3.09,CA,1704605992
14,tolanaro,-25.0319,46.9987,26.04,83,20,8.23,MG,1704606193
15,anna regina,7.2644,-58.5077,24.73,84,21,3.16,GY,1704606193
16,olonkinbyen,70.9221,-8.7187,-3.08,78,100,6.43,SJ,1704606193
17,lompoc,34.6391,-120.4579,11.55,88,100,7.15,US,1704606129
18,chonchi,-42.6128,-73.8092,11.73,86,93,0.69,CL,1704606194
19,sirjan,29.452,55.6814,7.8,35,0,4.23,IR,1704606194
20,margaret river,-33.95,115.0667,25.72,53,72,6.16,AU,1704606194
21,nova vicosa,-17.8919,-39.3719,24.44,94,99,3.07,BR,1704605657
22,yinchuan,38.4681,106.2731,-0.49,23,18,1.32,CN,1704606194
23,albany,42.6001,-73.9662,-1.54,89,100,1.34,US,1704606195
24,port blair,11.6667,92.75,28.51,68,56,5.8,IN,1704606008
25,puerto ayora,-0.7393,-90.3518,25.31,94,92,1.34,EC,1704606195
26,college,64.8569,-147.8028,-20.31,74,20,4.12,US,1704605973
27,udachny,66.4167,112.4,-23.71,97,100,4.81,RU,1704606195
28,ubari,26.5921,12.7805,8.43,44,0,2.83,LY,1704606196
29,edinburgh of the seven seas,-37.0676,-12.3116,15.88,72,100,2.74,SH,1704606196
30,ribeira grande,38.5167,-28.7,14.87,79,100,1.79,PT,1704606196
31,vorgashor,67.5833,63.95,-23.34,100,100,3.89,RU,1704605653
32,pamandzi,-12.7967,45.2794,29.88,74,100,1.03,YT,1704606197
33,alaghsas,17.0187,8.0168,13.94,26,80,2.57,NE,1704606197
34,constantia,44.1833,28.65,9.38,82,95,4.81,RO,1704605501
35,mount pearl,47.5166,-52.7813,-10.93,81,75,13.38,CA,1704605676
36,leava,-14.3,-178.1667,28.46,79,55,4.16,WF,1704605627
37,dalandzadgad,43.5708,104.425,-2.99,37,17,0.52,MN,1704605609
38,yurga,55.7231,84.8861,-18.38,98,91,1.65,RU,1704606198
39,iqaluit,63.7506,-68.5145,-24.15,77,0,2.57,CA,1704606198
40,vilyuchinsk,52.9306,158.4028,-13.85,74,4,4.23,RU,1704606198
41,west island,-12.1568,96.8225,29.99,79,75,5.14,CC,1704606199
42,port-aux-francais,-49.35,70.2167,6.17,82,98,6.99,TF,1704606199
43,hammerfest,70.6634,23.6821,-3.75,86,100,7.2,NO,1704606199
44,isafjordur,66.0755,-23.124,2.63,91,90,4.96,IS,1704605477
45,ushuaia,-54.8,-68.3,9.81,66,0,4.63,AR,1704606081
46,takoradi,4.8845,-1.7554,26.97,85,14,3.14,GH,1704605643
47,kodiak,57.79,-152.4072,4.73,93,100,10.8,US,1704606200
48,carutapera,-1.195,-46.02,24.18,95,100,1.46,BR,1704606200
49,la'ie,21.6477,-157.9253,24.98,92,46,1.15,US,1704606200
50,yellowknife,62.456,-114.3525,-34.28,75,0,1.54,CA,1704606002
51,tanumah,27.1,44.1333,13.33,56,0,2.19,SA,1704606201
52,fale old settlement,-9.3852,-171.2468,29.22,74,100,3.68,TK,1704606201
53,zhangjiakou,40.81,114.8794,-9.44,55,0,0.78,CN,1704606088
54,hushitai,41.9322,123.5114,-11.05,64,3,1.33,CN,1704606201
55,fort mcmurray,56.7268,-111.381,-20.23,84,100,5.14,CA,1704605648
56,lebu,-37.6167,-73.65,14.99,93,19,2.3,CL,1704606202
57,kapit,2.0167,112.9333,28.51,88,90,0.89,MY,1704606202
58,st. john's,47.5649,-52.7093,-10.47,81,75,13.38,CA,1704605926
59,anadyr,64.75,177.4833,-11.72,92,40,5.0,RU,1704606202
60,acarau,-2.8856,-40.12,26.48,81,58,4.48,BR,1704605639
61,flying fish cove,-10.4217,105.6791,27.82,89,100,4.12,CX,1704605648
62,bethel,41.3712,-73.414,1.23,86,100,5.66,US,1704606203
63,bismarck,46.8083,-100.7837,-6.09,92,100,3.09,US,1704605964
64,mto wa mbu,-3.35,35.85,23.3,79,90,1.43,TZ,1704606203
65,santa terezinha,-29.9002,-50.0904,21.64,94,43,6.15,BR,1704606204
66,rio gallegos,-51.6226,-69.2181,12.03,47,0,2.06,AR,1704606083
67,kangding,30.0513,101.9603,10.95,21,20,2.12,CN,1704605680
68,talnakh,69.4865,88.3972,-21.0,97,100,4.51,RU,1704606204
69,puerto natales,-51.7236,-72.4875,7.65,85,97,2.11,CL,1704606204
70,sao jose da coroa grande,-8.8978,-35.1478,25.58,77,12,3.57,BR,1704605635
71,waitangi,-43.9535,-176.5597,15.46,86,63,1.34,NZ,1704606205
72,la mira,18.035,-102.3266,22.13,70,21,1.76,MX,1704605634
73,bardai,11.65,7.2333,15.24,24,10,4.21,NG,1704605631
74,ilulissat,69.2167,-51.1,-8.99,73,100,3.09,GL,1704606205
75,gadzhiyevo,69.2551,33.3362,-7.73,89,99,5.7,RU,1704606205
76,kasongo,-4.45,26.6667,21.13,95,95,0.87,CD,1704606206
77,alpena,45.0617,-83.4327,-0.5,100,100,1.54,US,1704606206
78,pangody,65.85,74.4859,-21.37,95,87,3.27,RU,1704605633
79,nemuro,43.3236,145.575,0.33,69,8,5.02,JP,1704606206
80,mstera,56.3789,41.92,-26.95,99,75,2.16,RU,1704606206
81,lihue,21.9789,-159.3672,22.77,78,0,1.54,US,1704606211
82,cartagena,10.3997,-75.5144,25.79,89,0,1.54,CO,1704606211
83,quatre cocos,-20.2078,57.7625,30.05,80,96,4.95,MU,1704606211
84,port mathurin,-19.6833,63.4167,27.78,76,61,0.88,MU,1704606211
85,nogliki,51.8333,143.1667,-20.37,83,73,1.34,RU,1704606212
86,pangkalan brandan,4.0238,98.2782,25.17,92,100,2.81,ID,1704606212
87,calvinia,-31.4707,19.776,15.51,65,93,2.24,ZA,1704606212
88,myronivka,49.6601,30.9823,-4.59,79,100,7.0,UA,1704606213
89,aasiaat,68.7098,-52.8699,-10.96,84,100,1.6,GL,1704606213
90,sitka,57.0531,-135.33,-0.06,86,40,0.0,US,1704606213
91,labrador city,52.9463,-66.9114,-25.05,77,75,3.6,CA,1704606010
92,abilene,32.4487,-99.7331,4.93,74,0,4.12,US,1704606019
93,susuman,62.7833,148.1667,-37.14,99,99,0.26,RU,1704606214
94,boa vista,2.8197,-60.6733,26.99,65,0,3.09,BR,1704606214
95,mongo,12.1844,18.693,20.3,18,17,1.7,TD,1704606214
96,sechura,-5.5569,-80.8222,23.19,76,18,5.27,PE,1704606214
97,laguna,38.421,-121.4238,6.19,95,100,2.57,US,1704606214
98,chibougamau,49.9168,-74.3659,-19.21,84,100,3.09,CA,1704606120
99,badger,64.8,-147.5333,-20.36,74,0,4.12,US,1704606215
100,miranda do douro,41.4969,-6.2731,1.14,83,100,1.05,PT,1704606215
101,hermanus,-34.4187,19.2345,15.84,83,100,1.21,ZA,1704606215
102,wailua homesteads,22.0669,-159.378,22.44,78,0,1.54,US,1704606215
103,porbandar,21.6422,69.6093,22.99,43,0,4.63,IN,1704606216
104,balabac,7.9868,117.0645,25.77,90,98,8.29,PH,1704606216
105,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,66,20,5.14,ID,1704606216
106,san luis de la loma,17.2706,-100.8939,23.85,75,50,1.78,MX,1704606216
107,renon - ritten,46.5415,11.4573,0.44,66,100,2.57,IT,1704606216
108,fort st. john,56.2499,-120.8529,-22.06,77,20,4.12,CA,1704606217
109,san antonio de pale,-1.4014,5.6325,27.06,74,69,3.4,GQ,1704605635
110,whitehorse,60.7161,-135.0538,-18.99,83,40,6.17,CA,1704606217
111,port isabel,26.0734,-97.2086,15.02,88,0,0.0,US,1704606217
112,rio grande,-32.035,-52.0986,23.3,91,76,5.42,BR,1704606218
113,kristiansund,63.1115,7.732,-3.64,80,96,3.09,NO,1704606218
114,klyuchi,52.2667,79.1667,-7.54,95,90,1.39,RU,1704605625
115,punta arenas,-53.15,-70.9167,9.06,76,0,5.66,CL,1704606026
116,port sudan,19.6175,37.2164,23.84,70,83,5.45,SD,1704606218
117,holma,9.9008,13.0567,19.05,23,9,1.33,NG,1704606219
118,pangoa,-12.1167,-73.0,19.95,97,56,0.96,PE,1704606219
119,longyearbyen,78.2186,15.6401,-16.09,72,40,4.12,SJ,1704606219
120,hamilton,39.1834,-84.5333,2.47,94,100,2.06,US,1704605997
121,jabal os saraj,35.1183,69.2378,8.05,22,79,1.73,AF,1704606219
122,katsuura,35.1333,140.3,8.96,72,65,5.72,JP,1704606219
123,kayangel,8.0823,134.7173,28.65,78,92,6.78,PW,1704606220
124,formosa,-26.1775,-58.1781,25.99,78,0,2.06,AR,1704606220
125,qandala,11.472,49.8728,24.88,58,9,2.86,SO,1704606220
126,keflavik,64.0049,-22.5624,5.95,100,75,12.86,IS,1704606220
127,cabo san lucas,22.8909,-109.9124,20.42,54,100,1.83,MX,1704605957
128,brisas de zicatela,15.8369,-97.0419,23.84,75,0,2.04,MX,1704605628
129,al badari,26.9926,31.4155,10.08,47,0,0.35,EG,1704606221
130,parnamirim,-5.9156,-35.2628,25.94,83,20,2.06,BR,1704606221
131,roma,43.2128,-75.4557,-1.62,94,100,3.6,US,1704605697
132,ca mau,9.1769,105.15,31.12,52,99,5.51,VN,1704606221
133,enewetak,11.3474,162.3373,27.06,67,56,9.14,MH,1704606222
134,nova sintra,14.8667,-24.7167,21.32,68,0,4.98,CV,1704606222
135,ta'izz,13.5,44.0,19.11,43,2,1.76,YE,1704606222
136,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,78,0,5.36,RU,1704606222
137,codrington,-38.2667,141.9667,19.08,97,100,2.95,AU,1704606222
138,invercargill,-46.4,168.35,15.57,79,78,4.47,NZ,1704606223
139,howard springs,-12.497,131.047,29.95,77,90,2.83,AU,1704606223
140,bulgan,48.8125,103.5347,-9.77,76,100,0.48,MN,1704606223
141,uturoa,-16.7333,-151.4333,26.85,78,100,5.16,PF,1704606223
142,figuig (centre),32.1089,-1.2286,5.63,45,11,1.53,MA,1704606223
143,taltal,-25.4,-70.4833,18.4,83,35,0.49,CL,1704606224
